geoname_fips,count
NULL,8033143
00000,244409
01001,10
01003,190
01005,57
01007,2
01009,121
01011,2
01013,334
01015,477
01017,150
01019,81
01021,16
01023,17
01025,3
01027,1
01029,1
01031,319
01033,19
01035,8
01037,2
01039,36
01041,9
01043,279
01045,31
01047,68
01049,275
01051,428
01053,149
01055,8
01057,20
01059,11
01061,3
01063,3
01065,7
01067,2
01069,2818
01071,69
01073,18311
01075,2
01077,81
01079,2
01081,1679
01083,16
01085,29
01087,4
01089,5410
01091,9
01093,4
01095,418
01097,1912
01099,22
01101,3211
01103,764
01105,5
01107,1
01109,253
01111,3
01113,265
01115,15
01117,1343
01119,12
01121,18
01123,237
01125,5431
01127,143
01129,59
01131,5
02013,9
02016,4
02020,5659
02050,1
02068,1
02090,696
02105,31
02110,46
02122,288
02130,56
02150,47
02164,93
02170,1029
02180,389
02185,13
02188,5
02195,5
02220,15
02240,6
02261,101
02282,73
02290,5
04001,160
04003,3538
04005,801
04007,222
04009,149
04012,34
04013,69953
04015,1155
04017,276
04019,7517
04021,438
04023,32
04025,1099
04027,1090
05001,129
05003,7
05005,263
05007,188
05009,175
05013,43
05015,1
05017,4
05019,11
05021,5
05023,4
05025,6
05027,17
05031,695
05033,10
05035,11
05037,11
05041,2
05043,34
05045,793
05047,3
05049,4
05051,592
05053,1
05055,117
05057,8
05059,109
05063,44
05067,1
05069,161
05073,26
05075,2
05077,13
05079,2
05081,120
05083,2
05085,339
05087,40
05089,79
05091,50
05093,8
05097,1
05103,42
05107,26
05109,185
05111,4
05113,29
05115,146
05119,8377
05123,43
05125,16
05127,18
05131,1016
05133,6
05135,22
05137,64
05139,286
05141,43
05143,19339
05145,145
05149,40
06001,30419
06003,1
06005,203
06007,2730
06009,178
06011,71
06013,16866
06015,134
06017,2767
06019,8338
06021,5
06023,440
06025,7446
06027,59
06029,4048
06031,791
06033,35
06035,38
06037,191942
06039,718
06041,7399
06043,5
06045,687
06047,1232
06051,75
06053,3717
06055,776
06057,279
06059,64645
06061,3275
06063,18
06065,17069
06067,22818
06069,5
06071,13915
06073,39491
06075,32157
06077,3699
06079,3790
06081,13867
06083,6678
06085,92691
06087,5106
06089,1529
06091,15
06093,176
06095,5257
06097,4922
06099,5062
06101,1648
06103,5
06105,3
06107,1264
06109,50
06111,6792
06113,3916
06115,45
08001,3848
08003,175
08005,7554
08011,130
08013,6957
08014,103
08015,32
08017,15
08019,1
08021,1
08029,57
08031,16176
08035,14387
08037,35
08039,3
08041,8568
08043,198
08045,117
08047,2
08049,77
08051,122
08055,28
08059,6961
08065,17
08067,407
08069,5309
08071,23
08073,77
08075,56
08077,816
08081,38
08083,49
08085,206
08087,178
08089,180
08091,10
08095,23
08097,269
08099,10
08101,1186
08103,17
08105,3
08107,158
08109,42
08113,100
08115,2
08117,187
08119,101
08121,1
08123,1781
08125,29
09001,10482
09003,9451
09005,1631
09007,499
09009,12978
09011,876
09013,1689
09015,1159
10001,6164
10003,2923
10005,1049
11001,157940
12001,7299
12003,54
12005,1506
12007,12
12009,4264
12011,36925
12013,286
12015,199
12017,811
12019,481
12021,1145
12023,90
12027,9
12031,16679
12033,3201
12035,501
12037,14
12039,75
12041,2
12043,2
12045,51
12047,4
12049,4
12051,7
12053,1494
12055,87
12057,13050
12059,2
12061,652
12063,37
12065,2
12067,7
12069,1885
12071,5742
12073,7080
12075,20
12077,2
12079,11
12081,1704
12083,804
12085,90
12086,27415
12087,869
12089,9
12091,79
12093,30
12095,21933
12097,1993
12099,5209
12101,2859
12103,8649
12105,10947
12107,109
12109,189
12111,253
12113,955
12115,9643
12117,3944
12119,200
12121,1155
12123,790
12127,9313
12129,1
12131,118
12133,9
13005,116
13007,2
13009,506
13011,1
13013,349
13015,100
13017,2084
13019,1
13021,2334
13023,13
13025,53
13027,1
13029,45
13031,616
13033,1
13039,88
13043,91
13045,535
13047,134
13051,3973
13053,2
13055,225
13057,426
13059,12756
13063,1499
13065,2
13067,57960
13069,173
13071,6
13073,16
13077,753
13081,3
13083,41
13087,18
13089,20650
13091,84
13095,376
13097,39
13099,9
13103,149
13105,48
13107,12
13109,1
13111,96
13113,50
13115,220
13117,110
13119,2
13121,83502
13123,460
13127,82
13129,72
13131,17
13133,7
13135,9416
13137,252
13139,770
13143,15
13145,19
13147,218
13149,1
13151,1364
13153,34
13157,2588
13159,2
13161,1
13163,4
13171,8
13173,36
13175,348
13179,3
13185,270
13187,342
13189,3
13191,46
13193,3
13199,3
13207,2
13211,2
13215,1216
13217,10
13219,18
13223,9
13225,21
13227,108
13231,1
13233,64
13235,181
13237,1
13241,216
13243,1
13245,3091
13247,77
13249,13
13251,120
13253,1
13255,10
13257,4
13259,1
13261,56
13267,1
13269,261
13273,2
13275,364
13277,153
13279,403
13281,90
13285,547
13291,3
13293,104
13295,90
13297,107
13299,144
13301,1
13303,1
13305,2
13309,157
13311,410
13313,1492
13315,65
13317,67
15001,1515
15003,12474
15007,728
15009,1549
16001,7405
16005,350
16009,19
16011,7
16013,9
16015,3
16017,39
16019,917
16021,17
16025,1
16027,1443
16029,166
16031,41
16033,7
16035,8
16037,36
16039,14
16043,15
16045,6
16047,3
16049,19
16051,5
16053,11
16055,1778
16057,1571
16063,1
16065,294
16067,225
16069,304
16071,4
16073,47
16075,64
16077,120
16079,25
16081,3
16083,398
16085,59
16087,103
17001,217
17003,16
17005,25
17007,19
17009,1
17011,24
17015,8
17017,209
17019,3632
17021,193
17023,1
17025,66
17027,8
17029,537
17031,191987
17035,4
17037,1482
17039,29
17041,9
17043,21643
17045,11
17047,1
17049,58
17051,4
17053,17
17055,1
17057,22
17059,27
17061,3
17063,273
17065,35
17067,34
17069,1
17071,6
17073,134
17075,25
17077,1607
17081,269
17083,73
17085,41
17087,1
17089,895
17091,23
17093,75
17095,84
17097,4434
17099,124
17101,7
17103,27
17105,19
17107,31
17109,433
17111,873
17113,2554
17115,752
17117,180
17119,1821
17121,58
17125,1
17127,6
17129,3
17131,55
17133,556
17135,2
17137,24
17139,26
17141,58
17143,3392
17145,76
17147,7
17149,18
17151,2
17153,1
17155,3
17157,95
17159,178
17161,1048
17163,2096
17165,242
17167,1272
17171,38
17173,16
17177,174
17179,582
17181,10
17183,50
17187,8
17189,1
17191,18
17193,33
17195,153
17197,1365
17199,753
17201,599
17203,207
18001,28
18003,4032
18005,278
18007,34
18009,1
18011,46
18013,1
18015,13
18017,11
18019,1063
18021,4
18023,81
18027,4
18029,73
18031,8
18033,80
18035,1292
18037,145
18039,410
18041,9
18043,722
18045,2
18047,1
18049,40
18051,8
18053,376
18055,15
18057,3052
18059,144
18061,17
18063,677
18065,28
18067,498
18069,43
18071,32
18073,19
18075,1
18077,189
18079,5
18081,407
18083,339
18085,164
18087,6
18089,1191
18091,223
18093,4
18095,84
18097,18119
18099,116
18101,3
18103,64
18105,3978
18107,111
18109,51
18111,12
18113,163
18115,2
18117,16
18119,1
18121,8
18123,2
18127,2439
18129,1
18131,5
18133,221
18135,3
18137,187
18139,11
18141,2895
18143,25
18145,52
18147,245
18149,5
18151,3
18153,4
18155,3
18157,1918
18159,17
18163,2510
18165,65
18167,1350
18169,35
18171,1
18173,17
18175,57
18177,81
18179,93
18181,15
18183,4
19003,1
19007,6
19009,2
19011,103
19013,1357
19015,22
19017,102
19019,70
19021,19
19023,12
19025,19
19027,59
19029,53
19031,35
19033,149
19035,7
19039,49
