geoname_fips,count
NULL,1809723
00000,46948
01001,3
01003,49
01005,16
01009,22
01011,1
01013,143
01015,109
01017,25
01019,18
01021,3
01023,2
01025,1
01031,81
01033,3
01035,2
01037,1
01039,15
01041,4
01043,64
01045,8
01047,30
01049,64
01051,149
01053,23
01055,3
01057,2
01059,6
01063,2
01065,2
01069,427
01071,22
01073,3205
01075,2
01077,25
01081,351
01083,2
01085,6
01087,2
01089,1216
01091,3
01093,2
01095,80
01097,409
01099,5
01101,1079
01103,192
01105,3
01109,62
01111,1
01113,59
01115,4
01117,314
01119,5
01121,6
01123,54
01125,737
01127,46
01129,11
01131,1
02013,1
02016,1
02020,1093
02090,146
02105,7
02110,20
02122,47
02130,10
02150,28
02164,2
02170,220
02180,74
02185,6
02188,1
02220,3
02240,2
02261,21
02282,17
02290,2
04001,36
04003,1053
04005,135
04007,45
04009,25
04012,3
04013,16131
04015,130
04017,62
04019,1799
04021,90
04023,6
04025,209
04027,514
05001,89
05003,2
05005,113
05007,106
05009,37
05013,2
05015,1
05017,1
05019,6
05021,1
05023,2
05027,7
05031,134
05033,6
05035,2
05043,11
05045,132
05047,2
05049,1
05051,117
05055,28
05057,4
05059,25
05063,6
05069,33
05073,1
05075,1
05077,2
05079,2
05081,49
05085,85
05087,7
05089,12
05091,12
05093,4
05103,7
05107,7
05109,4
05111,1
05113,11
05115,25
05119,1927
05123,6
05125,4
05127,1
05131,196
05135,5
05137,13
05139,114
05141,8
05143,7379
05145,35
05149,9
06001,7689
06005,133
06007,694
06009,32
06011,17
06013,4708
06015,45
06017,480
06019,2397
06021,1
06023,117
06025,1063
06027,12
06029,1012
06031,187
06033,7
06035,2
06037,44382
06039,114
06041,1889
06043,2
06045,131
06047,346
06051,9
06053,928
06055,113
06057,63
06059,15743
06061,673
06063,2
06065,3961
06067,5942
06069,1
06071,3394
06073,10529
06075,9353
06077,1105
06079,793
06081,3179
06083,1197
06085,19547
06087,1221
06089,343
06091,6
06093,41
06095,1236
06097,1337
06099,1174
06101,686
06103,1
06105,1
06107,318
06109,18
06111,1627
06113,670
06115,14
08001,1091
08003,58
08005,2051
08011,29
08013,1784
08014,43
08015,6
08017,4
08021,1
08029,9
08031,3950
08035,2709
08037,11
08039,1
08041,2021
08043,36
08045,26
08047,2
08049,11
08051,29
08055,5
08059,1696
08065,8
08067,78
08069,1012
08071,5
08073,18
08075,14
08077,180
08081,9
08083,10
08085,68
08087,68
08089,56
08091,2
08095,5
08097,57
08099,1
08101,277
08103,12
08105,2
08107,34
08109,17
08113,14
08117,29
08119,19
08123,510
08125,7
09001,2202
09003,1697
09005,332
09007,119
09009,3258
09011,165
09013,353
09015,253
10001,1801
10003,513
10005,291
11001,29008
12001,1017
12003,11
12005,411
12007,5
12009,1159
12011,10820
12013,61
12015,52
12017,177
12019,163
12021,271
12023,15
12027,8
12031,4286
12033,476
12035,105
12037,3
12039,11
12041,1
12043,1
12045,8
12049,2
12051,1
12053,527
12055,17
12057,3985
12059,1
12061,141
12063,9
12065,2
12067,3
12069,486
12071,1440
12073,1739
12075,12
12079,2
12081,456
12083,189
12085,22
12086,7590
12087,196
12089,4
12091,20
12093,6
12095,4435
12097,474
12099,1135
12101,881
12103,2704
12105,1494
12107,18
12109,42
12111,42
12113,279
12115,2819
12117,678
12119,60
12121,212
12123,30
12127,4033
12129,1
12131,27
12133,7
13005,27
13007,2
13009,117
13013,75
13015,44
13017,282
13021,417
13023,1
13025,10
13029,9
13031,93
13033,1
13039,17
13043,22
13045,102
13047,32
13051,958
13053,1
13055,50
13057,78
13059,1003
13063,249
13065,2
13067,1835
13069,21
13071,1
13073,3
13077,142
13083,10
13087,1
13089,5397
13095,65
13097,1
13099,3
13103,21
13105,9
13107,3
13111,17
13113,24
13115,48
13117,37
13119,1
13121,21071
13123,128
13127,10
13129,12
13131,3
13133,2
13135,2167
13137,56
13139,151
13143,4
13145,7
13147,44
13149,1
13151,314
13153,7
13157,409
13159,1
13163,1
13171,2
13175,36
13179,2
13185,48
13187,42
13189,2
13191,7
13199,1
13211,1
13215,241
13217,3
13219,3
13223,1
13225,4
13227,13
13233,29
13235,32
13241,173
13243,1
13245,741
13247,12
13249,2
13251,27
13255,4
13261,7
13269,25
13273,2
13275,75
13277,27
13279,116
13281,32
13285,147
13291,2
13293,23
13295,8
13297,23
13299,30
13301,1
13303,1
13311,49
13313,245
13315,4
13317,12
15001,343
15003,2536
15007,136
15009,318
16001,1396
16005,100
16009,7
16011,3
16015,2
16017,11
16019,256
16021,8
16025,1
16027,299
16029,43
16031,12
16033,1
16037,10
16039,4
16043,2
16045,1
16049,1
16051,1
16053,3
16055,359
16057,180
16065,68
16067,55
16069,63
16071,1
16073,12
16075,11
16077,22
16079,5
16081,2
16083,96
16085,7
16087,23
17001,73
17003,5
17005,7
17007,7
17009,1
17011,6
17015,2
17017,45
17019,634
17021,32
17023,1
17025,18
17027,3
17029,49
17031,39874
17035,2
17037,261
17039,14
17041,2
17043,4622
17045,4
17049,12
17053,4
17057,8
17059,6
17061,2
17063,104
17065,9
17067,3
17071,1
17073,34
17075,4
17077,256
17081,65
17083,7
17085,6
17089,199
17091,9
17093,40
17095,21
17097,921
17099,31
17103,4
17105,5
17107,9
17109,70
17111,252
17113,463
17115,184
17117,26
17119,383
17121,3
17127,3
17131,4
17133,66
17137,9
17139,12
17141,21
17143,543
17145,8
17147,2
17149,9
17151,1
17153,1
17157,19
17159,25
17161,259
17163,436
17165,114
17167,193
17171,10
17173,4
17177,39
17179,146
17181,2
17183,12
17187,6
17191,3
17193,10
17195,93
17197,367
17199,285
17201,128
17203,42
18001,26
18003,650
18005,159
18011,24
18015,4
18017,4
18019,195
18023,13
18027,1
18029,22
18031,1
18033,24
18035,206
18037,22
18039,80
18041,3
18043,151
18045,1
18049,13
18051,2
18053,107
18055,3
18057,638
18059,57
18061,4
18063,155
18065,9
18067,79
18069,6
18071,7
18073,4
18077,65
18079,3
18081,62
18083,127
18085,27
18089,247
18091,58
18093,2
18095,13
18097,4020
18099,18
18101,1
18103,7
18105,754
18107,29
18109,11
18111,8
18113,38
18115,1
18117,4
18119,1
18121,2
18123,2
18127,498
18131,2
18133,50
18135,1
18137,49
18141,574
18143,5
18145,9
18147,83
18149,2
18151,3
18153,2
18155,2
18157,413
18159,5
18163,722
18167,184
18169,15
18173,3
18175,8
18177,25
18179,25
18181,5
18183,2
19007,1
19011,20
19013,271
19015,4
19017,28
19019,14
19021,9
19023,5
19027,15
19029,12
19031,3
19033,27
19035,1
19039,9
19041,17
19043,23
19045,23
19047,5
19049,11
19051,4
19053,5
19057,53
19059,7
19061,75
19063,4
19065,1
19067,15
19073,4
19077,4
19079,5
19081,8
19083,27
19087,4
19097,8
19099,5
19101,48
19103,724
19105,7
19107,2
19109,13
19113,754
19115,2
19123,32
19125,7
19127,28
19129,6
19131,1
19137,3
19139,46
19141,9
19145,4
19147,9
19149,30
19151,73
19153,2622
19155,32
19157,166
19161,2
19163,284
19165,20
19167,79
19169,207
19171,15
19177,3
19179,23
19181,8
19183,18
19187,18
19189,30
19191,31
19193,233
19195,6
19197,18
20001,9
20005,5
20007,13
20009,2
20011,13
20013,15
20015,3
20017,1
20019,2
20021,6
20027,7
20029,16
20031,6
20035,6
20037,214
20041,2
20043,4
20045,330
20051,94
20053,8
20055,2
20057,27
20059,16
20061,1
20067,21
20073,2
20079,11
20085,10
20087,3
20091,1624
20097,10
20099,14
20103,221
20107,4
20111,94
20113,13
20117,18
20121,15
20123,17
20125,9
20127,5
20129,1
20131,14
20133,7
20137,34
20139,9
20149,38
20151,1
20153,1
20155,11
20159,9
20161,76
20163,97
20165,14
20167,3
20169,6
20171,6
20173,413
20175,84
20177,1586
20191,24
20193,8
20205,79
20209,1748
21001,2
21003,1
21005,32
21007,5
21009,83
21015,269
21017,26
21019,41
21021,67
21025,2
21029,293
21031,6
21033,1
21035,55
21037,28
21041,2
21043,9
21045,2
21047,46
21049,41
21051,1
21053,1
21059,136
21065,8
21067,1560
21069,11
21071,16
21073,97
21075,1
21077,3
21081,10
21083,46
21085,1
21091,6
21093,145
21095,10
21097,4
21101,15
21103,1
21107,43
21111,2516
21113,45
