geoname_fips,count
NULL,24277191
00000,991048
01001,39
01003,965
01005,216
01007,4
01009,502
01011,22
01013,472
01015,1818
01017,623
01019,191
01021,45
01023,150
01025,22
01027,4
01029,5
01031,1501
01033,62
01035,15
01037,9
01039,110
01041,52
01043,818
01045,94
01047,213
01049,844
01051,1754
01053,644
01055,54
01057,37
01059,21
01061,6
01063,10
01065,12
01067,7
01069,12399
01071,114
01073,52042
01075,6
01077,253
01079,2
01081,7288
01083,72
01085,72
01087,14
01089,26266
01091,37
01093,26
01095,2214
01097,11181
01099,102
01101,12656
01103,2323
01105,12
01107,9
01109,816
01111,7
01113,859
01115,262
01117,4702
01119,34
01121,96
01123,1107
01125,11444
01127,466
01129,159
01131,51
01133,23
02013,14
02016,26
02020,25385
02050,14
02068,2
02090,4773
02105,152
02110,538
02122,1029
02130,350
02150,184
02164,511
02170,3737
02180,1613
02185,65
02188,55
02195,910
02198,1
02220,1502
02240,15
02261,354
02282,695
02290,175
04001,1083
04003,7834
04005,4415
04007,630
04009,552
04012,215
04013,246822
04015,5108
04017,1148
04019,31011
04021,1415
04023,152
04025,3887
04027,3634
05001,160
05003,29
05005,704
05007,373
05009,752
05011,2
05013,263
05015,17
05017,7
05019,401
05021,80
05023,12
05025,19
05027,76
05029,7
05031,2409
05033,41
05035,33
05037,47
05039,7
05041,10
05043,67
05045,4259
05047,19
05049,50
05051,2700
05053,2
05055,185
05057,23
05059,207
05061,6
05063,159
05065,4
05067,3
05069,1147
05071,3
05073,75
05075,4
05077,87
05079,17
05081,139
05083,8
05085,1198
05087,84
05089,229
05091,128
05093,42
05095,5
05097,5
05099,6
05103,127
05105,2
05107,135
05109,764
05111,16
05113,48
05115,912
05117,3
05119,38440
05121,8
05123,123
05125,50
05127,36
05131,3248
05133,10
05135,37
05137,191
05139,551
05141,60
05143,34723
05145,649
05147,2
05149,79
06001,146234
06003,7
06005,422
06007,7637
06009,961
06011,267
06013,62787
06015,396
06017,11738
06019,33367
06021,23
06023,1860
06025,32712
06027,179
06029,14545
06031,2544
06033,141
06035,411
06037,583984
06039,2448
06041,19430
06043,41
06045,3010
06047,4152
06049,2
06051,369
06053,12921
06055,5277
06057,704
06059,284129
06061,14754
06063,39
06065,53050
06067,85108
06069,99
06071,43887
06073,162817
06075,255895
06077,18365
06079,14083
06081,41109
06083,27071
06085,313756
06087,19244
06089,5454
06091,55
06093,685
06095,13534
06097,19582
06099,20453
06101,4247
06103,25
06105,37
06107,4188
06109,290
06111,14509
06113,12219
06115,95
08001,10607
08003,847
08005,35729
08007,26
08009,2
08011,404
08013,25528
08014,415
08015,142
08017,31
08019,5
08021,3
08023,2
08025,3
08027,4
08029,290
08031,59402
08033,5
08035,58630
08037,187
08039,9
08041,31448
08043,651
08045,758
08047,25
08049,457
08051,609
08053,8
08055,72
08057,1
08059,24668
08063,18
08065,82
08067,1407
08069,15306
08071,250
08073,136
08075,305
08077,2724
08079,1
08081,151
08083,146
08085,637
08087,338
08089,859
08091,62
08093,7
08095,88
08097,1473
08099,36
08101,4205
08103,28
08105,12
08107,526
08109,63
08111,1
08113,450
08115,2
08117,1320
08119,230
08121,2
08123,6639
08125,88
09001,42149
09003,57180
09005,7563
09007,2422
09009,75800
09011,3496
09013,7099
09015,4054
10001,8197
10003,11332
10005,2766
11001,674647
12001,38646
12003,195
12005,5205
12007,23
12009,16129
12011,104934
12013,1078
12015,388
12017,2741
12019,1684
12021,2577
12023,495
12027,13
12029,1
12031,59979
12033,21037
12035,2944
12037,27
12039,289
12041,9
12043,6
12045,220
12047,5
12049,12
12051,18
12053,5371
12055,455
12057,43846
12059,10
12061,1965
12063,210
12065,4
12067,19
12069,7721
12071,26473
12073,27512
12075,42
12077,3
12079,16
12081,7543
12083,3222
12085,331
12086,146407
12087,1608
12089,30
12091,390
12093,299
12095,96607
12097,8575
12099,27834
12101,11034
12103,36185
12105,49990
12107,856
12109,919
12111,1262
12113,3263
12115,19561
12117,15923
12119,1189
12121,5646
12123,1245
12125,3
12127,33512
12129,3
12131,573
12133,17
13001,6
13005,413
13007,6
13009,2615
13011,1
13013,2243
13015,193
13017,8772
13019,2
13021,15011
13023,59
13025,281
13027,39
13029,376
13031,3576
13033,12
13035,15
13037,3
13039,312
13043,400
13045,2165
13047,575
13049,3
13051,16396
13053,6
13055,1120
13057,2500
13059,24100
13063,8532
13065,4
13067,117974
13069,1081
13071,26
13073,86
13075,5
13077,3271
13081,16
13083,149
13085,8
13087,82
13089,66054
13091,90
13093,1
13095,2957
13097,206
13099,66
13103,1179
13105,174
13107,39
13109,2
13111,255
13113,98
13115,1537
13117,508
13119,18
13121,450752
13123,1776
13125,1
13127,186
13129,525
13131,29
13133,27
13135,30052
13137,991
13139,3061
13141,2
13143,30
13145,24
13147,1069
13149,1
13151,3932
13153,163
13155,1
13157,10577
13159,6
13161,2
13163,32
13165,1
13167,2
13169,3
13171,96
13173,37
13175,1094
13177,8
13179,30
13181,1
13185,1254
13187,1911
13189,13
13191,228
13193,4
13195,3
13197,1
13199,14
13201,5
13205,7
13207,8
13209,5
13211,8
13213,2
13215,4641
13217,42
13219,66
13221,1
13223,27
13225,150
13227,437
13231,7
13233,132
13235,640
13237,33
13239,1
13241,219
13243,3
13245,12290
13247,470
13249,72
13251,776
13253,2
13255,318
13257,37
13259,4
13261,321
13267,1
13269,593
13271,3
13273,10
13275,2292
13277,578
13279,426
13281,152
13285,2439
13287,1
13291,29
13293,535
13295,679
13297,426
13299,550
13301,2
13303,41
13305,10
13309,194
13311,2144
13313,6322
13315,65
13317,153
13319,2
15001,8973
15003,62761
15007,3739
15009,7595
16001,28166
16005,1328
16009,103
16011,25
16013,40
16015,44
16017,132
16019,3160
16021,71
16025,1
16027,5545
16029,445
16031,113
16033,32
16035,25
16037,76
16039,100
16041,84
16043,25
16045,9
16047,7
16049,48
16051,14
16053,21
16055,5987
16057,5166
16059,1
16061,20
16063,1
16065,1560
16067,551
16069,1529
16071,6
16073,196
16075,327
16077,271
16079,144
16081,3
16083,1143
16085,388
16087,292
17001,708
17003,39
17005,94
17007,126
17009,8
17011,79
17015,9
17017,902
17019,17667
17021,522
17023,21
17025,289
17027,21
17029,4240
17031,740091
17033,7
17035,20
17037,4126
17039,31
17041,101
17043,144462
17045,34
17047,2
17049,374
17051,13
17053,41
17055,6
17057,55
17059,304
17061,6
17063,534
17065,104
17067,358
17069,3
17071,14
17073,407
17075,61
17077,4588
17079,14
17081,1308
17083,626
17085,63
17087,5
17089,3873
17091,100
17093,170
17095,661
17097,14693
17099,688
17101,52
17103,255
17105,482
17107,134
17109,2217
17111,4307
17113,8247
17115,2681
17117,1350
17119,8795
17121,194
17123,39
17125,119
17127,8
17129,56
17131,474
17133,2400
17135,15
17137,68
17139,90
17141,147
17143,13743
17145,172
17147,28
17149,101
17151,5
17153,75
17155,12
17157,310
17159,474
17161,4340
17163,7821
17165,442
17167,11673
17169,2
17171,204
17173,82
17175,1
17177,597
17179,2413
17181,21
17183,119
17185,2
17187,10
17189,4
17191,76
17193,80
17195,299
17197,6327
17199,887
17201,3092
17203,944
18001,43
18003,8169
18005,487
18007,68
18009,6
18011,196
18013,19
18015,115
18017,30
18019,3689
18021,14
18023,714
18027,17
18029,295
18031,20
18033,4028
18035,8035
18037,793
18039,1912
18041,28
18043,3456
18045,14
18047,4
18049,71
18051,60
18053,1321
18055,80
18057,10017
18059,985
18061,71
18063,1944
18065,106
18067,3457
18069,193
18071,106
18073,96
18075,1
18077,586
18079,20
18081,3117
18083,796
18085,1719
18087,10
18089,5872
18091,627
18093,36
18095,295
18097,96994
18099,667
18101,6
18103,1006
18105,20565
18107,565
18109,151
18111,12
18113,689
18115,3
18117,50
18119,6
18121,61
18123,14
18127,7852
18129,14
18131,29
18133,1507
18135,3
18137,418
18139,54
18141,16616
18143,124
18145,135
18147,878
18149,52
18151,66
18153,5
18155,4
18157,11154
18159,76
18163,12194
18165,353
18167,6913
18169,259
18171,6
18173,79
18175,248
18177,457
18179,322
18181,54
18183,26
19001,3
19003,5
19005,2
19007,16
19009,26
19011,392
19013,5150
19015,184
19017,383
19019,243
19021,58
19023,33
19025,207
19027,333
19029,168
19031,236
19033,798
19035,92
19037,1
19039,102
19041,446
19043,310
19045,679
19047,213
19049,808
19051,98
19053,289
19055,222
19057,1201
19059,36
19061,890
19063,31
19065,25
19067,318
19069,63
19071,3
19073,155
19075,81
19077,155
19079,158
19081,101
19083,244
19085,107
19087,158
19091,25
19093,6
19095,38
19097,157
19099,286
19101,914
19103,11977
19105,193
19107,39
19109,326
19111,8
19113,13299
19115,90
19117,51
19119,11
19121,16
19123,405
19125,630
19127,332
19129,33
19131,19
19135,2
19137,76
19139,990
19141,166
